comb; list
(2, 4, 8, 12); [0, 1, 3, 5, 65]
(2, 4, 8, 14); [0, 1, 3, 5, 195, 21525]
(2, 4, 8, 16); [0, 1, 3, 5, 4095, 4097, 12291, 20485, 21845]
(2, 4, 9); [0, 1, 3, 5, 255, 273]
(2, 4, 9, 11); [0, 1, 3, 5, 255]
(2, 4, 9, 16); [0, 1, 3, 5, 255, 273]
(2, 5, 16); [0, 1, 3, 119]
(2, 5, 8); [0, 1, 3, 2709]
(2, 6, 13); [0, 1, 3, 5, 7, 693]
(2, 6, 13, 15); [0, 1, 3, 5, 7, 693]
(2, 6, 14); [0, 1, 3, 5, 7, 151497]
(2, 6, 15); [0, 1, 3, 5, 7, 693]
(2, 6, 16); [0, 1, 3, 5, 7, 819, 3999]
(2, 7, 16); [0, 1, 3, 5, 85, 257]
(2, 7, 8); [0, 1, 3, 5, 786435]
(2, 8, 10); [0, 1, 3, 5, 7, 9, 585]
(2, 8, 12); [0, 1, 3, 5, 7, 9, 65, 471, 495, 192573]
(2, 8, 13); [0, 1, 3, 5, 7, 9, 31279]
(2, 8, 14); [0, 1, 3, 5, 7, 9, 45, 195, 365, 21525]
(2, 8, 16); [0, 1, 3, 5, 7, 9, 3951, 4095, 4097, 12291, 20485, 21845, 28679, 30039, 36873]
(2, 8, 9); [0, 1, 3, 5, 7, 455]
(2, 9, 11); [0, 1, 3, 5, 7, 255]
(2, 9, 11, 16); [0, 1, 3, 5, 7, 255]
(2, 9, 16); [0, 1, 3, 5, 7, 255, 273]
(3, 11, 15); [0, 1, 2, 4, 8, 10, 964, 79546]
(3, 12, 13); [0, 1, 2, 4, 8, 10, 100636]
(3, 13, 15); [0, 1, 2, 4, 8, 10, 112]
(3, 14, 15); [0, 1, 2, 4, 8, 10, 13, 1913]
(3, 4, 12); [0, 1, 2, 10, 130]
(3, 4, 8); [0, 1, 2, 130]
(3, 4, 8, 12); [0, 1, 2, 130]
(3, 5, 12); [0, 1, 2, 4, 26, 52, 1667]
(3, 5, 9); [0, 1, 2, 4, 32152]
(3, 6, 10); [0, 1, 2, 4, 74647]
(3, 6, 13); [0, 1, 2, 4, 28]
(3, 6, 15); [0, 1, 2, 4, 80, 160]
(3, 6, 8); [0, 1, 2, 4, 203]
(3, 6, 9); [0, 1, 2, 4, 80, 910]
(3, 6, 9, 15); [0, 1, 2, 4, 80]
(3, 7, 10); [0, 1, 2, 4, 8, 121, 242]
(3, 7, 8); [0, 1, 2, 4, 121]
(3, 7, 8, 10); [0, 1, 2, 4, 121]
(3, 7, 9); [0, 1, 2, 4, 8, 40, 100, 164, 328, 400, 8200, 14762, 532900]
(3, 8, 10); [0, 1, 2, 4, 121]
(3, 8, 12); [0, 1, 2, 4, 130]
(3, 8, 15); [0, 1, 2, 4, 316]
(3, 9, 10); [0, 1, 2, 4, 8, 656]
(3, 9, 11); [0, 1, 2, 4, 8, 10, 820]
(3, 9, 12); [0, 1, 2, 4, 8, 10, 91]
(3, 9, 13); [0, 1, 2, 4, 8, 10, 32800, 56096]
(3, 9, 15); [0, 1, 2, 4, 8, 10, 80]
(4, 10, 11); [0, 1, 2, 3, 5, 787]
(4, 10, 11, 16); [0, 1, 2, 3, 5, 787]
(4, 10, 13); [0, 1, 2, 3, 5, 666]
(4, 10, 16); [0, 1, 2, 3, 5, 787]
(4, 11, 16); [0, 1, 2, 3, 5, 10, 255, 787, 42330]
(4, 12, 14); [0, 1, 2, 3, 5, 10, 1885]
(4, 12, 15); [0, 1, 2, 3, 5, 10, 110057]
(4, 12, 16); [0, 1, 2, 3, 5, 10, 1365, 65535]
(4, 13, 14); [0, 1, 2, 3, 5, 10, 562]
(4, 13, 14, 16); [0, 1, 2, 3, 5, 10, 562]
(4, 13, 16); [0, 1, 2, 3, 5, 10, 170, 562, 771]
(4, 14, 16); [0, 1, 2, 3, 5, 10, 15, 562]
(4, 6, 10); [0, 1, 2, 3, 5, 55]
(4, 6, 12); [0, 1, 2, 3, 5, 1885]
(4, 6, 12, 14); [0, 1, 2, 3, 5, 1885]
(4, 6, 14); [0, 1, 2, 3, 5, 1885]
(4, 6, 16); [0, 1, 2, 3, 5, 819]
(4, 7, 13); [0, 1, 2, 3, 5, 235]
(4, 7, 14); [0, 1, 2, 3, 5, 150]
(4, 7, 16); [0, 1, 2, 3, 5, 85, 257]
(4, 7, 8); [0, 1, 2, 3, 5, 235, 428585, 786435]
(4, 7, 8, 13); [0, 1, 2, 3, 5, 235]
(4, 8, 10); [0, 1, 2, 3, 5, 373]
(4, 8, 12); [0, 1, 2, 3, 5, 65, 130]
(4, 8, 13); [0, 1, 2, 3, 5, 170, 235, 10794]
(4, 8, 13, 16); [0, 1, 2, 3, 5, 170]
(4, 8, 14); [0, 1, 2, 3, 5, 105, 195, 21525]
(4, 8, 15); [0, 1, 2, 3, 5, 536770]
(4, 8, 16); [0, 1, 2, 3, 5, 170, 4095, 4097, 8194, 12291, 20485, 21845, 696490, 699050]
(4, 8, 9); [0, 1, 2, 3, 5, 373]
(4, 8, 9, 10); [0, 1, 2, 3, 5, 373]
(4, 9, 10); [0, 1, 2, 3, 5, 373]
(4, 9, 11); [0, 1, 2, 3, 5, 10, 255]
(4, 9, 11, 16); [0, 1, 2, 3, 5, 10, 255]
(4, 9, 16); [0, 1, 2, 3, 5, 10, 255, 273, 546, 2730, 23205]
(5, 10, 11); [0, 1, 2, 3, 4, 6, 676]
(5, 10, 11, 12); [0, 1, 2, 3, 4, 6, 676]
(5, 10, 12); [0, 1, 2, 3, 4, 6, 676]
(5, 10, 16); [0, 1, 2, 3, 4, 6, 626]
(5, 11, 12); [0, 1, 2, 3, 4, 6, 676, 75399]
(5, 12, 14); [0, 1, 2, 3, 4, 6, 1196]
(5, 12, 16); [0, 1, 2, 3, 4, 6, 58718]
(5, 14, 16); [0, 1, 2, 3, 4, 6, 12, 1252]
(5, 6, 12); [0, 1, 2, 3, 4, 104]
(5, 6, 13); [0, 1, 2, 3, 4, 98]
(5, 6, 14); [0, 1, 2, 3, 4, 2293]
(5, 7, 11); [0, 1, 2, 3, 4, 6, 24]
(5, 7, 12); [0, 1, 2, 3, 4, 6, 78]
(5, 8, 11); [0, 1, 2, 3, 4, 6, 36]
(5, 9, 10); [0, 1, 2, 3, 4, 6, 282]
(6, 10, 11); [0, 1, 2, 3, 4, 5, 7, 343]
(6, 12, 14); [0, 1, 2, 3, 4, 5, 7, 1885]
(6, 13, 14); [0, 1, 2, 3, 4, 5, 7, 1477]
(6, 13, 14, 16); [0, 1, 2, 3, 4, 5, 7, 1477]
(6, 13, 15); [0, 1, 2, 3, 4, 5, 7, 14, 693]
(6, 13, 16); [0, 1, 2, 3, 4, 5, 7, 14, 1333, 1477]
(6, 14, 16); [0, 1, 2, 3, 4, 5, 7, 1477]
(6, 15, 16); [0, 1, 2, 3, 4, 5, 7, 14, 2666]
(6, 7, 14); [0, 1, 2, 3, 4, 5, 135]
(6, 7, 8); [0, 1, 2, 3, 4, 5, 178]
(6, 8, 13); [0, 1, 2, 3, 4, 5, 7, 154]
(6, 8, 9); [0, 1, 2, 3, 4, 5, 7, 154]
(6, 8, 9, 13); [0, 1, 2, 3, 4, 5, 7, 154]
(6, 9, 10); [0, 1, 2, 3, 4, 5, 7, 191]
(6, 9, 13); [0, 1, 2, 3, 4, 5, 7, 154, 209]
(6, 9, 15); [0, 1, 2, 3, 4, 5, 7, 80]
(7, 11, 15); [0, 1, 2, 3, 4, 5, 6, 8, 48]
(7, 11, 16); [0, 1, 2, 3, 4, 5, 6, 8, 221, 321]
(7, 8, 10); [0, 1, 2, 3, 4, 5, 6, 121, 292]
(7, 8, 13); [0, 1, 2, 3, 4, 5, 6, 235, 300]
(7, 8, 9); [0, 1, 2, 3, 4, 5, 6, 300]
(7, 8, 9, 13); [0, 1, 2, 3, 4, 5, 6, 300]
(7, 9, 13); [0, 1, 2, 3, 4, 5, 6, 8, 300, 2000]
(7, 9, 14); [0, 1, 2, 3, 4, 5, 6, 8, 22800]
(8, 10, 13); [0, 1, 2, 3, 4, 5, 6, 7, 9, 8778]
(8, 11, 13); [0, 1, 2, 3, 4, 5, 6, 7, 9, 1098, 1242]
(8, 11, 14); [0, 1, 2, 3, 4, 5, 6, 7, 9, 2124]
(8, 11, 14, 15); [0, 1, 2, 3, 4, 5, 6, 7, 9, 2124]
(8, 11, 15); [0, 1, 2, 3, 4, 5, 6, 7, 9, 2124]
(8, 12, 14); [0, 1, 2, 3, 4, 5, 6, 7, 9, 422]
(8, 13, 15); [0, 1, 2, 3, 4, 5, 6, 7, 9, 1386]
(8, 13, 16); [0, 1, 2, 3, 4, 5, 6, 7, 9, 170]
(8, 14, 15); [0, 1, 2, 3, 4, 5, 6, 7, 9, 2124]
(8, 9, 10); [0, 1, 2, 3, 4, 5, 6, 7, 373]
(8, 9, 13); [0, 1, 2, 3, 4, 5, 6, 7, 154, 300]
(9, 10, 12); [0, 1, 2, 3, 4, 5, 6, 7, 8, 555]
(9, 10, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 464]
(9, 11, 12); [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 410]
(9, 11, 13); [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 510]
(9, 11, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 60]
(9, 11, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 255, 610]
(9, 14, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 337]
